id,parent_id,name,position_id
14,6,"Стартовые наборы электронных сигарет",184
12,0,"Расходники и комплектующие ",197
48,79,"Жидкости Vape Depot",55
9,6,"Моды для электронных сигарет",185
6,0,"Каталог электронных сигарет",183
13,6,Дрипки,189
10,6,"Механические моды",186
11,6,"Бакомайзеры со сменными испарителями",187
15,0,"Жидкости для электронных сигарет",1
16,0,"Аксессуары для электронных сигарет",190
19,6,"Обслуживаемые атомайзеры",188
49,15,"Основы и ароматизаторы жидкости для электронных сигарет",181
38,12,"Сменные испарители",199
20,38,"Испарители Joyetech",200
21,38,"Испарители Kanger",201
22,38,"Испарители Eleaf",202
23,38,"Испарители UD",203
39,12,"Запасные части",215
24,12,"Расходные материалы",198
25,16,"Дриптипы / Мундштуки для электронных сигарет",191
26,16,"Чехлы для электронных сигарет",192
27,16,"Аккумуляторы для электронных сигарет",193
28,16,"Зарядные устройства для электронных сигарет",194
30,0,"Каталог электронных сигарет по брендам",219
31,30,Joyetech,220
32,30,Kangertech,221
44,78,"Жидкости Joyetech",118
33,30,"Eleaf iSmoka",222
43,16,"Прочие аксессуары",195
34,30,Aspire,223
100,0,"Скоро в продаже",230
101,77,"Жидкости Steep Vapors",168
35,30,Sigelei,224
41,30,Wotofo,227
42,30,"YouDe Technologies",228
36,30,"Pioneer4you ",225
40,30,"EhPro & Eciggity",226
37,79,"Жидкости Cloud Parrot",18
45,79,"Жидкости #VAPESAGA",69
46,78,"Жидкости Mighty Juice",116
47,79,"Жидкости ATMOSE",23
50,79,"Жидкости Eleaf",67
209,77,"Жидкости Fantasi",146
51,78,"Жидкости Vape MO",105
52,38,"Испарители Smok",204
53,38,"Испарители Aspire",205
54,38,"Испарители Uwell",206
85,77,"Жидкости Skills",179
80,78,"Жидкости Ice Cream",104
57,79,"Жидкости 26",70
58,79,"Жидкости Boyar",59
59,77,"Малазийские жидкости от Borong Vape",145
61,0,Дисконт,229
60,78,"Жидкости DOCTOR GRIMES",82
69,79,"Жидкости Infinity space",75
89,77,"Жидкости Humble",137
70,78,"Жидкости Gods of Vape",106
84,79,"Жидкости Mega Flavour",73
83,38,"Прочие испарители",207
73,78,"Жидкости I`m in Love with the Coca-Coca",109
74,78,"Жидкости OLD SCHOOL",108
75,78,"Жидкости YOGURT MILK",102
76,79,"Жидкости Vapor Village",74
77,15,"Премиум жидкости для электронных сигарет",124
78,15,"Недорогие жижи для электронных сигарет",76
79,15,"Дешевые жидкости для электронных сигарет",9
81,78,"Жидкости Milk",103
82,77,"Жидкости Vape Wild ",176
86,79,"Жидкости Mi-Mi Vape",72
87,77,"Жидкости The CLOWN",149
88,77,"Жидкости Bad Drip",133
90,79,"Жидкости ATMOSE MASHERA",65
91,78,"Жидкости Vape Zone",94
92,79,"Жидкости Aviator",25
93,79,"Жидкости Alice in Cloudland",26
106,77,"Жидкости BIGFinDEAL",174
94,78,"Жидкости Fresh Drop",107
96,79,"Жидкости URBN",60
97,78,"Жидкости Juice overdose",110
98,77,"Big Bottle co.",142
99,77,"Жидкости Hustle",150
