id,order_id,product_id,variant_id,product_name,variant_name,price,amount,sku
5,4,NULL,NULL,"Испарители для K1 BVC","1.8 Ом",650.00,1,
4,3,NULL,NULL,"Испаритель для ProTank III/Aerotank/T3D","0.8 Ом",550.00,1,
6,5,147,208,"Обслуживаемый бак Billow V2",Черный,1990.00,1,
7,6,147,208,"Обслуживаемый бак Billow V2",Черный,1990.00,1,
8,7,144,205,"Аккумулятор LG HG2 18650",,600.00,1,
9,7,69,NULL,"Набор Kanger Subox Mini starter kit","Черный Оригинал",4900.00,1,
10,8,144,205,"Аккумулятор LG HG2 18650",,600.00,1,
11,8,69,NULL,"Набор Kanger Subox Mini starter kit","Черный Оригинал",4900.00,1,
12,8,157,242,"Жидкость Cloud Parrot Apple juice","Крепость 3Мг.",250.00,1,
13,9,69,212,"Набор Kanger Subox Mini starter kit","Черный клон 1:1",3500.00,1,
14,10,69,212,"Набор Kanger Subox Mini starter kit","Черный клон 1:1",3500.00,1,
15,10,144,205,"Аккумулятор LG HG2 18650",,600.00,1,
16,11,147,208,"Обслуживаемый бак Billow V2",Черный,1990.00,1,
17,12,147,209,"Обслуживаемый бак Billow V2",Серебро,1990.00,1,
18,13,144,205,"Аккумулятор LG HG2 18650",,600.00,2,
19,14,142,202,"Боксмод Pioneer4You iPV 3 Li 200W",,7000.00,1,
20,15,142,202,"Боксмод Pioneer4You iPV 3 Li 200W",,7000.00,1,
21,16,142,202,"Боксмод Pioneer4You iPV 3 Li 200W",,7000.00,1,
22,17,142,202,"Боксмод Pioneer4You iPV 3 Li 200W",,7000.00,1,
23,18,147,208,"Обслуживаемый бак Billow V2",Черный,2200.00,1,
24,19,NULL,NULL,"Танк Kanger Subtank Plus ",,1990.00,1,
25,19,142,202,"Боксмод Pioneer4You iPV 3 Li 200W",,7000.00,1,
26,20,144,205,"Аккумулятор LG HG2 18650",,600.00,2,
27,20,69,212,"Набор Kanger Subox Mini starter kit Clone","Черный клон 1:1",3500.00,1,
28,20,167,274,"Жидкость Coca-Cola от JoyeTech",6Мг,490.00,1,
29,20,176,301,"Жидкость Арбуз от JoyeTech",6Мг,490.00,1,
30,20,181,316,"Жидкость Red Bull от JoyeTech",6Мг,490.00,1,
31,20,182,318,Вэйпбэнды,,50.00,4,
32,21,NULL,NULL,"Боксмод Eleaf iStick TC 40W",Черный,1990.00,1,
33,22,NULL,NULL,"Боксмод Eleaf iStick TC 40W",Серебро,1990.00,1,
34,23,NULL,NULL,"Танк Kanger Subtank Plus ",,1990.00,1,
35,23,NULL,NULL,"Боксмод Eleaf iStick TC 40W",Серебро,1990.00,1,
36,24,140,200,"Электронная сигарета Eleaf iJust 2",,2490.00,1,
37,25,140,200,"Электронная сигарета Eleaf iJust 2",,2490.00,1,
38,26,69,212,"Набор Kanger Subox Mini starter kit Clone","Черный клон 1:1",3500.00,1,
39,27,144,205,"Аккумулятор LG HG2 18650",,600.00,1,
40,27,147,208,"Обслуживаемый бак Billow V2",Черный,2200.00,1,
41,28,69,212,"Набор Kanger Subox Mini starter kit",Черный,4500.00,1,
